cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
108.248,2024-11-03T22:55:23.498Z,40.7471437,-111.9215411,1287.741,0.078,0.02,9073,82523.499,1.59,3,MSLV
208.2247778,2024-11-03T22:55:23.599Z,40.7471438,-111.9215411,1287.737,0.052,0.08,9073,82523.599,1.59,3,MSLV
308.2015556,2024-11-03T22:55:23.698Z,40.7471438,-111.9215412,1287.689,0.072,0.05,9073,82523.699,1.59,3,MSLV
408.1783333,2024-11-03T22:55:23.798Z,40.7471439,-111.921541,1287.718,0.044,0.09,9073,82523.799,1.59,3,MSLV
508.1551111,2024-11-03T22:55:23.899Z,40.747144,-111.921541,1287.705,0.076,0.04,9073,82523.899,1.59,3,MSLV
608.1318889,2024-11-03T22:55:24.000Z,40.7471439,-111.9215411,1287.68,0.061,0.08,9073,82524,1.59,3,MSLV
708.1086667,2024-11-03T22:55:24.099Z,40.747144,-111.9215411,1287.66,0.051,0.07,9073,82524.099,1.59,3,MSLV
808.0854444,2024-11-03T22:55:24.198Z,40.747144,-111.9215412,1287.683,0.024,0.07,9073,82524.199,1.59,3,MSLV
908.0622222,2024-11-03T22:55:24.298Z,40.7471442,-111.9215412,1287.698,0.114,0.02,9073,82524.299,1.65,3,MSLV
1008.039,2024-11-03T22:55:24.399Z,40.7471448,-111.9215416,1287.728,0.398,0.12,9073,82524.399,1.65,3,MSLV
1107.957,2024-11-03T22:55:24.498Z,40.7471446,-111.9215415,1287.705,0.059,0.4,9073,82524.499,1.65,3,MSLV
1207.875,2024-11-03T22:55:24.599Z,40.7471446,-111.9215414,1287.705,0.009,0.07,9073,82524.599,1.65,3,MSLV
1307.793,2024-11-03T22:55:24.698Z,40.7471446,-111.9215414,1287.672,0.011,0.04,9073,82524.699,1.65,3,MSLV
1407.711,2024-11-03T22:55:24.798Z,40.7471445,-111.9215414,1287.654,0.099,0.01,9073,82524.799,1.72,3,MSLV
1507.629,2024-11-03T22:55:24.899Z,40.7471446,-111.9215414,1287.66,0.034,0.1,9073,82524.899,1.72,3,MSLV
1607.547,2024-11-03T22:55:25.000Z,40.7471445,-111.9215413,1287.649,0.03,0.03,9073,82525,1.72,3,MSLV
1707.465,2024-11-03T22:55:25.099Z,40.7471445,-111.9215412,1287.64,0.059,0.03,9073,82525.099,1.72,3,MSLV
1807.383,2024-11-03T22:55:25.198Z,40.7471445,-111.9215412,1287.626,0.054,0.06,9073,82525.199,1.72,3,MSLV
1907.301,2024-11-03T22:55:25.298Z,40.7471446,-111.9215413,1287.626,0.075,0.06,9073,82525.299,1.72,3,MSLV
2007.219,2024-11-03T22:55:25.399Z,40.7471444,-111.9215411,1287.631,0.14,0.08,9073,82525.399,1.66,3,MSLV
2107.4408,2024-11-03T22:55:25.498Z,40.7471446,-111.9215413,1287.622,0.072,0.14,9073,82525.499,1.66,3,MSLV
2207.6626,2024-11-03T22:55:25.599Z,40.7471446,-111.9215411,1287.605,0.038,0.07,9073,82525.599,1.72,3,MSLV
2307.8844,2024-11-03T22:55:25.698Z,40.7471444,-111.9215409,1287.593,0.106,0.04,9073,82525.699,1.72,3,MSLV
2408.1062,2024-11-03T22:55:25.798Z,40.7471444,-111.921541,1287.599,0.076,0.11,9073,82525.799,1.72,3,MSLV
2508.328,2024-11-03T22:55:25.899Z,40.7471445,-111.9215409,1287.59,0.032,0.08,9073,82525.899,1.72,3,MSLV
2608.5498,2024-11-03T22:55:26.000Z,40.7471447,-111.9215411,1287.599,0.114,0.03,9073,82526,1.72,3,MSLV
2708.7716,2024-11-03T22:55:26.099Z,40.7471449,-111.9215412,1287.606,0.165,0.11,9073,82526.099,1.72,3,MSLV
2808.9934,2024-11-03T22:55:26.198Z,40.7471447,-111.921541,1287.594,0.035,0.17,9073,82526.199,1.72,3,MSLV
2909.2152,2024-11-03T22:55:26.298Z,40.7471448,-111.9215409,1287.56,0.103,0.04,9073,82526.299,1.72,3,MSLV
3009.437,2024-11-03T22:55:26.399Z,40.7471445,-111.9215408,1287.567,0.17,0.1,9073,82526.399,1.72,3,MSLV
3109.5733,2024-11-03T22:55:26.498Z,40.7471446,-111.9215409,1287.546,0.053,0.17,9073,82526.499,1.66,3,MSLV
3209.7096,2024-11-03T22:55:26.599Z,40.7471444,-111.9215407,1287.548,0.103,0.05,9073,82526.599,1.66,3,MSLV
3309.8459,2024-11-03T22:55:26.698Z,40.7471446,-111.9215407,1287.542,0.062,0.1,9073,82526.699,1.66,3,MSLV
3409.9822,2024-11-03T22:55:26.798Z,40.7471446,-111.9215407,1287.495,0.074,0.06,9073,82526.799,1.66,3,MSLV
3510.1185,2024-11-03T22:55:26.899Z,40.7471446,-111.9215406,1287.54,0.105,0.09,9073,82526.899,1.66,3,MSLV
3610.2548,2024-11-03T22:55:27.000Z,40.7471447,-111.9215407,1287.551,0.015,0.11,9073,82527,1.66,3,MSLV
3710.3911,2024-11-03T22:55:27.099Z,40.7471447,-111.9215407,1287.504,0.053,0.02,9073,82527.099,1.66,3,MSLV
3810.5274,2024-11-03T22:55:27.198Z,40.7471448,-111.9215407,1287.505,0.093,0.06,9073,82527.199,1.66,3,MSLV
3910.6637,2024-11-03T22:55:27.298Z,40.7471447,-111.9215405,1287.513,0.102,0.09,9073,82527.299,1.66,3,MSLV
4010.8,2024-11-03T22:55:27.399Z,40.7471449,-111.9215407,1287.49,0.098,0.1,9073,82527.399,1.66,3,MSLV
4110.5243,2024-11-03T22:55:27.498Z,40.7471447,-111.9215404,1287.486,0.124,0.1,9073,82527.499,1.66,3,MSLV
4210.2486,2024-11-03T22:55:27.599Z,40.7471448,-111.9215405,1287.517,0.066,0.12,9073,82527.599,1.66,3,MSLV
4309.9729,2024-11-03T22:55:27.698Z,40.7471452,-111.9215408,1287.562,0.095,0.07,9073,82527.699,1.66,3,MSLV
4409.6972,2024-11-03T22:55:27.798Z,40.747145,-111.9215407,1287.526,0.068,0.11,9073,82527.799,1.66,3,MSLV
4509.4215,2024-11-03T22:55:27.899Z,40.7471451,-111.9215407,1287.572,0.059,0.07,9073,82527.899,1.66,3,MSLV
4609.1458,2024-11-03T22:55:28.000Z,40.7471453,-111.9215408,1287.57,0.073,0.09,9073,82528,1.66,3,MSLV
4708.8701,2024-11-03T22:55:28.099Z,40.7471454,-111.9215409,1287.553,0.143,0.1,9073,82528.099,1.66,3,MSLV
4808.5944,2024-11-03T22:55:28.198Z,40.7471449,-111.9215405,1287.509,0.102,0.15,9073,82528.199,1.66,3,MSLV
4908.3187,2024-11-03T22:55:28.298Z,40.7471451,-111.9215407,1287.482,0.125,0.1,9073,82528.299,1.66,3,MSLV
5008.043,2024-11-03T22:55:28.399Z,40.7471451,-111.9215406,1287.501,0.073,0.12,9073,82528.399,1.66,3,MSLV
5108.2953,2024-11-03T22:55:28.498Z,40.7471449,-111.9215405,1287.468,0.057,0.08,9073,82528.499,1.66,3,MSLV
5208.5476,2024-11-03T22:55:28.599Z,40.7471452,-111.9215406,1287.423,0.193,0.06,9073,82528.599,1.66,3,MSLV
5308.7999,2024-11-03T22:55:28.698Z,40.7471448,-111.9215403,1287.423,0.181,0.19,9073,82528.699,1.66,3,MSLV
5409.0522,2024-11-03T22:55:28.798Z,40.7471451,-111.9215406,1287.44,0.067,0.18,9073,82528.799,1.66,3,MSLV
5509.3045,2024-11-03T22:55:28.899Z,40.7471452,-111.9215406,1287.428,0.069,0.07,9073,82528.899,1.66,3,MSLV
5609.5568,2024-11-03T22:55:29.000Z,40.747145,-111.9215404,1287.417,0.081,0.07,9073,82529,1.66,3,MSLV
5709.8091,2024-11-03T22:55:29.099Z,40.7471451,-111.9215404,1287.4,0.05,0.08,9073,82529.099,1.66,3,MSLV
5810.0614,2024-11-03T22:55:29.198Z,40.747145,-111.9215403,1287.401,0.047,0.05,9073,82529.199,1.66,3,MSLV
5910.3137,2024-11-03T22:55:29.298Z,40.7471449,-111.9215402,1287.389,0.085,0.05,9073,82529.299,1.66,3,MSLV
6010.566,2024-11-03T22:55:29.399Z,40.7471453,-111.9215404,1287.394,0.119,0.09,9073,82529.399,1.66,3,MSLV
6110.5223,2024-11-03T22:55:29.498Z,40.7471454,-111.9215405,1287.435,0.137,0.12,9073,82529.499,1.66,3,MSLV
6210.4786,2024-11-03T22:55:29.599Z,40.747146,-111.9215409,1287.51,0.202,0.14,9073,82529.599,1.66,3,MSLV
6310.4349,2024-11-03T22:55:29.698Z,40.7471461,-111.9215408,1287.506,0.154,0.21,9073,82529.699,1.66,3,MSLV
6410.3912,2024-11-03T22:55:29.798Z,40.7471456,-111.9215406,1287.464,0.111,0.17,9073,82529.799,1.66,3,MSLV
6510.3475,2024-11-03T22:55:29.899Z,40.7471458,-111.9215405,1287.482,0.085,0.12,9073,82529.899,1.66,3,MSLV
6610.3038,2024-11-03T22:55:30.000Z,40.7471459,-111.9215407,1287.492,0.068,0.1,9073,82530,1.66,3,MSLV
6710.2601,2024-11-03T22:55:30.099Z,40.747146,-111.9215406,1287.497,0.118,0.1,9073,82530.099,1.66,3,MSLV
6810.2164,2024-11-03T22:55:30.198Z,40.7471453,-111.9215401,1287.381,0.155,0.14,9073,82530.199,1.66,3,MSLV
6910.1727,2024-11-03T22:55:30.298Z,40.7471446,-111.9215391,1287.224,0.354,0.15,9073,82530.299,1.66,3,MSLV
7010.129,2024-11-03T22:55:30.399Z,40.7471448,-111.9215392,1287.248,0.171,0.37,9073,82530.399,1.66,3,MSLV
7110.0822,2024-11-03T22:55:30.498Z,40.7471453,-111.9215395,1287.339,0.085,0.18,9073,82530.499,1.66,3,MSLV
7210.0354,2024-11-03T22:55:30.599Z,40.7471453,-111.9215399,1287.316,0.238,0.09,9073,82530.599,1.66,3,MSLV
7309.9886,2024-11-03T22:55:30.698Z,40.7471453,-111.9215402,1287.273,0.202,0.24,9073,82530.699,1.66,3,MSLV
7409.9418,2024-11-03T22:55:30.798Z,40.7471452,-111.9215401,1287.244,0.084,0.2,9073,82530.799,1.66,3,MSLV
7509.895,2024-11-03T22:55:30.899Z,40.7471451,-111.9215397,1287.265,0.093,0.09,9073,82530.899,1.66,3,MSLV
7609.8482,2024-11-03T22:55:31.000Z,40.7471446,-111.9215396,1287.289,0.272,0.09,9073,82531,1.98,3,MSLV
7709.8014,2024-11-03T22:55:31.099Z,40.7471448,-111.9215396,1287.294,0.127,0.27,9073,82531.099,1.98,3,MSLV
7809.7546,2024-11-03T22:55:31.198Z,40.7471451,-111.9215396,1287.337,0.094,0.13,9073,82531.199,1.98,3,MSLV
7909.7078,2024-11-03T22:55:31.298Z,40.747145,-111.9215399,1287.33,0.191,0.1,9073,82531.299,1.98,3,MSLV
8009.661,2024-11-03T22:55:31.399Z,40.747145,-111.9215401,1287.24,0.078,0.19,9073,82531.399,1.98,3,MSLV
8109.5503,2024-11-03T22:55:31.498Z,40.7471447,-111.9215402,1287.202,0.187,0.08,9073,82531.499,1.98,3,MSLV
8209.4396,2024-11-03T22:55:31.599Z,40.7471438,-111.921539,1287.112,0.315,0.19,9073,82531.599,1.98,3,MSLV
8309.3289,2024-11-03T22:55:31.698Z,40.7471435,-111.921539,1287.062,0.303,0.32,9073,82531.699,1.98,3,MSLV
8409.2182,2024-11-03T22:55:31.798Z,40.747144,-111.921539,1287.084,0.113,0.32,9073,82531.799,1.98,3,MSLV
8509.1075,2024-11-03T22:55:31.899Z,40.7471434,-111.9215385,1287.026,0.229,0.14,9073,82531.899,1.98,3,MSLV
8608.9968,2024-11-03T22:55:32.000Z,40.7471432,-111.9215377,1286.992,0.261,0.25,9073,82532,1.98,3,MSLV
8708.8861,2024-11-03T22:55:32.099Z,40.7471433,-111.9215375,1287,0.231,0.29,9073,82532.099,1.98,3,MSLV
8808.7754,2024-11-03T22:55:32.198Z,40.7471431,-111.921537,1286.991,0.267,0.25,9073,82532.199,1.94,3,MSLV
8908.6647,2024-11-03T22:55:32.298Z,40.7471431,-111.9215366,1286.977,0.244,0.29,9073,82532.299,1.94,3,MSLV
9008.554,2024-11-03T22:55:32.399Z,40.747143,-111.9215362,1286.965,0.266,0.27,9073,82532.399,1.94,3,MSLV
9108.5456,2024-11-03T22:55:32.498Z,40.7471429,-111.9215369,1286.935,0.171,0.29,9073,82532.499,1.94,3,MSLV
9208.5372,2024-11-03T22:55:32.599Z,40.7471429,-111.9215371,1286.919,0.166,0.2,9073,82532.599,1.94,3,MSLV
9308.5288,2024-11-03T22:55:32.698Z,40.7471429,-111.9215369,1286.897,0.127,0.19,9073,82532.699,1.94,3,MSLV
9408.5204,2024-11-03T22:55:32.798Z,40.7471425,-111.9215363,1286.892,0.312,0.16,9073,82532.799,1.94,3,MSLV
9508.512,2024-11-03T22:55:32.899Z,40.747143,-111.9215368,1286.941,0.069,0.33,9073,82532.899,1.94,3,MSLV
9608.5036,2024-11-03T22:55:33.000Z,40.7471426,-111.9215365,1286.859,0.139,0.09,9073,82533,1.94,3,MSLV
9708.4952,2024-11-03T22:55:33.099Z,40.7471425,-111.9215358,1286.856,0.129,0.17,9073,82533.099,1.94,3,MSLV
9808.4868,2024-11-03T22:55:33.198Z,40.7471419,-111.9215347,1286.814,0.327,0.16,9073,82533.199,1.94,3,MSLV
9908.4784,2024-11-03T22:55:33.298Z,40.747142,-111.9215349,1286.755,0.226,0.35,9073,82533.299,1.94,3,MSLV
10008.47,2024-11-03T22:55:33.399Z,40.7471419,-111.9215346,1286.761,0.222,0.26,9073,82533.399,1.94,3,MSLV
10108.415,2024-11-03T22:55:33.498Z,40.7471418,-111.9215338,1286.768,0.373,0.25,9073,82533.499,1.94,3,MSLV
10208.36,2024-11-03T22:55:33.599Z,40.7471414,-111.9215336,1286.713,0.365,0.39,9073,82533.599,1.94,3,MSLV
10308.305,2024-11-03T22:55:33.698Z,40.7471414,-111.921534,1286.646,0.241,0.38,9073,82533.699,1.94,3,MSLV
10408.25,2024-11-03T22:55:33.798Z,40.747141,-111.9215342,1286.559,0.242,0.28,9073,82533.799,1.94,3,MSLV
10508.195,2024-11-03T22:55:33.899Z,40.747141,-111.921534,1286.53,0.165,0.29,9073,82533.899,2.02,3,MSLV
10608.14,2024-11-03T22:55:34.000Z,40.7471409,-111.9215339,1286.503,0.153,0.23,9073,82534,2.02,3,MSLV
10708.085,2024-11-03T22:55:34.099Z,40.747141,-111.9215342,1286.534,0.125,0.23,9073,82534.099,2.02,3,MSLV
10808.03,2024-11-03T22:55:34.198Z,40.7471411,-111.9215347,1286.497,0.089,0.19,9073,82534.199,2.02,3,MSLV
10907.975,2024-11-03T22:55:34.298Z,40.7471413,-111.9215343,1286.551,0.063,0.17,9073,82534.299,2.02,3,MSLV
11007.92,2024-11-03T22:55:34.399Z,40.7471416,-111.9215347,1286.592,0.163,0.13,9073,82534.399,2.02,3,MSLV
11108.1576,2024-11-03T22:55:34.498Z,40.7471417,-111.9215347,1286.614,0.043,0.19,9073,82534.499,2.02,3,MSLV
11208.3952,2024-11-03T22:55:34.599Z,40.747142,-111.9215346,1286.712,0.067,0.09,9073,82534.599,2.02,3,MSLV
11308.6328,2024-11-03T22:55:34.698Z,40.7471421,-111.9215346,1286.723,0.097,0.07,9073,82534.699,2.02,3,MSLV
11408.8704,2024-11-03T22:55:34.798Z,40.7471421,-111.9215345,1286.73,0.021,0.1,9073,82534.799,2.02,3,MSLV
11509.108,2024-11-03T22:55:34.899Z,40.7471422,-111.9215343,1286.766,0.089,0.03,9073,82534.899,2.02,3,MSLV
11609.3456,2024-11-03T22:55:35.000Z,40.7471421,-111.9215341,1286.809,0.129,0.09,9073,82535,2.02,3,MSLV
11709.5832,2024-11-03T22:55:35.099Z,40.747142,-111.9215342,1286.775,0.038,0.13,9073,82535.099,2.02,3,MSLV
11809.8208,2024-11-03T22:55:35.198Z,40.7471421,-111.9215342,1286.76,0.048,0.04,9073,82535.199,2.02,3,MSLV
11910.0584,2024-11-03T22:55:35.298Z,40.7471418,-111.9215339,1286.731,0.147,0.05,9073,82535.299,2.02,3,MSLV
12010.296,2024-11-03T22:55:35.399Z,40.7471421,-111.9215344,1286.733,0.072,0.15,9073,82535.399,2.02,3,MSLV
12110.072,2024-11-03T22:55:35.498Z,40.7471415,-111.9215341,1286.628,0.117,0.07,9073,82535.499,2.02,3,MSLV
12209.848,2024-11-03T22:55:35.599Z,40.7471416,-111.9215342,1286.624,0.066,0.13,9073,82535.599,2.02,3,MSLV
12309.624,2024-11-03T22:55:35.698Z,40.7471415,-111.9215341,1286.637,0.103,0.08,9073,82535.699,2.02,3,MSLV
12409.4,2024-11-03T22:55:35.798Z,40.7471415,-111.9215342,1286.605,0.036,0.11,9073,82535.799,2.5,3,MSLV
12509.176,2024-11-03T22:55:35.899Z,40.7471418,-111.9215345,1286.589,0.161,0.06,9073,82535.899,2.5,3,MSLV
12608.952,2024-11-03T22:55:36.000Z,40.747142,-111.9215345,1286.694,0.082,0.17,9073,82536,2.5,3,MSLV
12708.728,2024-11-03T22:55:36.099Z,40.7471425,-111.9215344,1286.844,0.056,0.08,9073,82536.099,2.5,3,MSLV
12808.504,2024-11-03T22:55:36.198Z,40.7471435,-111.9215345,1287.05,0.216,0.08,9073,82536.199,2.5,3,MSLV
12908.28,2024-11-03T22:55:36.298Z,40.7471436,-111.9215347,1287.05,0.21,0.25,9073,82536.299,2.5,3,MSLV
13008.056,2024-11-03T22:55:36.399Z,40.7471439,-111.9215345,1287.177,0.099,0.24,9073,82536.399,2.5,3,MSLV
13108.0078,2024-11-03T22:55:36.498Z,40.7471445,-111.9215345,1287.314,0.151,0.19,9073,82536.499,2.5,3,MSLV
13207.9596,2024-11-03T22:55:36.599Z,40.7471446,-111.9215348,1287.296,0.193,0.26,9073,82536.599,2.5,3,MSLV
13307.9114,2024-11-03T22:55:36.698Z,40.7471446,-111.9215348,1287.331,0.038,0.28,9073,82536.699,2.5,3,MSLV
13407.8632,2024-11-03T22:55:36.798Z,40.7471445,-111.9215349,1287.266,0.093,0.21,9073,82536.799,2.5,3,MSLV
13507.815,2024-11-03T22:55:36.899Z,40.7471446,-111.921535,1287.27,0.112,0.2,9073,82536.899,2.5,3,MSLV
13607.7668,2024-11-03T22:55:37.000Z,40.7471442,-111.9215349,1287.149,0.08,0.2,9073,82537,2.5,3,MSLV
13707.7186,2024-11-03T22:55:37.099Z,40.7471438,-111.9215351,1287.009,0.037,0.14,9073,82537.099,2.5,3,MSLV
13807.6704,2024-11-03T22:55:37.198Z,40.7471436,-111.9215351,1286.991,0.029,0.07,9073,82537.199,2.5,3,MSLV
13907.6222,2024-11-03T22:55:37.298Z,40.7471437,-111.9215351,1286.996,0.065,0.06,9073,82537.299,2.44,3,MSLV
14007.574,2024-11-03T22:55:37.399Z,40.7471439,-111.9215349,1287.07,0.081,0.08,9073,82537.399,2.44,3,MSLV
14107.5012,2024-11-03T22:55:37.498Z,40.7471438,-111.9215351,1287.004,0.045,0.12,9073,82537.499,2.44,3,MSLV
14207.4284,2024-11-03T22:55:37.599Z,40.7471439,-111.9215353,1287.017,0.064,0.07,9073,82537.599,2.44,3,MSLV
14307.3556,2024-11-03T22:55:37.698Z,40.7471441,-111.9215352,1287.084,0.043,0.09,9073,82537.699,2.44,3,MSLV
14407.2828,2024-11-03T22:55:37.798Z,40.7471439,-111.9215353,1287.043,0.035,0.1,9073,82537.799,2.44,3,MSLV
14507.21,2024-11-03T22:55:37.899Z,40.7471434,-111.9215353,1286.925,0.066,0.08,9073,82537.899,2.44,3,MSLV
14607.1372,2024-11-03T22:55:38.000Z,40.7471436,-111.9215351,1286.993,0.11,0.07,9073,82538,2.44,3,MSLV
14707.0644,2024-11-03T22:55:38.099Z,40.7471436,-111.9215352,1286.974,0.047,0.12,9073,82538.099,2.44,3,MSLV
14806.9916,2024-11-03T22:55:38.198Z,40.7471438,-111.9215355,1286.973,0.145,0.06,9073,82538.199,2.44,3,MSLV
14906.9188,2024-11-03T22:55:38.298Z,40.7471433,-111.9215352,1286.906,0.087,0.15,9073,82538.299,2.44,3,MSLV
15006.846,2024-11-03T22:55:38.399Z,40.7471433,-111.9215353,1286.9,0.071,0.09,9073,82538.399,2.44,3,MSLV
15106.8436,2024-11-03T22:55:38.498Z,40.7471432,-111.9215355,1286.89,0.058,0.08,9073,82538.499,2.44,3,MSLV
15206.8412,2024-11-03T22:55:38.599Z,40.7471443,-111.9215355,1287.143,0.215,0.07,9073,82538.599,2.44,3,MSLV
15306.8388,2024-11-03T22:55:38.698Z,40.7471441,-111.9215356,1287.117,0.12,0.24,9073,82538.699,2.44,3,MSLV
15406.8364,2024-11-03T22:55:38.798Z,40.7471437,-111.9215357,1287,0.079,0.16,9073,82538.799,2.44,3,MSLV
15506.834,2024-11-03T22:55:38.899Z,40.7471439,-111.9215358,1287.041,0.127,0.1,9073,82538.899,2.44,3,MSLV
15606.8316,2024-11-03T22:55:39.000Z,40.7471441,-111.9215358,1287.115,0.115,0.15,9073,82539,2.44,3,MSLV
15706.8292,2024-11-03T22:55:39.099Z,40.7471436,-111.9215355,1287.033,0.089,0.16,9073,82539.099,2.44,3,MSLV
15806.8268,2024-11-03T22:55:39.198Z,40.7471436,-111.9215358,1287.006,0.093,0.12,9073,82539.199,2.44,3,MSLV
15906.8244,2024-11-03T22:55:39.298Z,40.7471437,-111.9215358,1287.022,0.117,0.11,9073,82539.299,2.44,3,MSLV
16006.822,2024-11-03T22:55:39.399Z,40.7471437,-111.9215358,1287.06,0.023,0.14,9073,82539.399,2.44,3,MSLV
16106.96545,2024-11-03T22:55:39.498Z,40.7471438,-111.921536,1287.06,0.127,0.1,9073,82539.499,2.44,3,MSLV
16207.10891,2024-11-03T22:55:39.599Z,40.7471434,-111.9215358,1286.975,0.061,0.16,9073,82539.599,2.44,3,MSLV
16307.25236,2024-11-03T22:55:39.698Z,40.7471431,-111.9215359,1286.936,0.076,0.08,9073,82539.699,2.44,3,MSLV
16407.39582,2024-11-03T22:55:39.798Z,40.747143,-111.9215359,1286.881,0.04,0.09,9073,82539.799,2.44,3,MSLV
16507.53927,2024-11-03T22:55:39.899Z,40.7471433,-111.921536,1286.973,0.08,0.05,9073,82539.899,2.44,3,MSLV
16607.68273,2024-11-03T22:55:40.000Z,40.7471427,-111.9215357,1286.905,0.115,0.1,9073,82540,2.44,3,MSLV
16707.82618,2024-11-03T22:55:40.099Z,40.7471428,-111.921536,1286.856,0.123,0.12,9073,82540.099,2.44,3,MSLV
16807.96964,2024-11-03T22:55:40.198Z,40.7471428,-111.9215359,1286.872,0.064,0.13,9073,82540.199,2.44,3,MSLV
16908.11309,2024-11-03T22:55:40.298Z,40.7471425,-111.9215359,1286.865,0.091,0.08,9073,82540.299,2.44,3,MSLV
17008.25655,2024-11-03T22:55:40.399Z,40.7471426,-111.9215359,1286.876,0.058,0.1,9073,82540.399,2.44,3,MSLV
17108.4,2024-11-03T22:55:40.498Z,40.7471427,-111.921536,1286.87,0.08,0.08,9073,82540.499,2.44,3,MSLV
17208.4176,2024-11-03T22:55:40.599Z,40.7471432,-111.9215363,1286.939,0.257,0.09,9073,82540.599,2.44,3,MSLV
17308.4352,2024-11-03T22:55:40.698Z,40.7471438,-111.9215368,1286.992,0.425,0.27,9073,82540.699,2.44,3,MSLV
17408.4528,2024-11-03T22:55:40.798Z,40.7471443,-111.9215374,1287.021,0.494,0.44,9073,82540.799,2.44,3,MSLV
17508.4704,2024-11-03T22:55:40.899Z,40.7471444,-111.9215378,1286.988,0.485,0.51,9073,82540.899,2.44,3,MSLV
17608.488,2024-11-03T22:55:41.000Z,40.7471451,-111.921538,1287.068,0.564,0.5,9073,82541,2.44,3,MSLV
17708.5056,2024-11-03T22:55:41.099Z,40.7471459,-111.9215389,1287.111,0.732,0.58,9073,82541.099,2.44,3,MSLV
17808.5232,2024-11-03T22:55:41.198Z,40.7471457,-111.921539,1286.992,0.601,0.75,9073,82541.199,2.44,3,MSLV
17908.5408,2024-11-03T22:55:41.298Z,40.7471457,-111.921539,1286.998,0.458,0.61,9073,82541.299,2.44,3,MSLV
18008.5584,2024-11-03T22:55:41.399Z,40.7471462,-111.9215399,1286.942,0.61,0.47,9073,82541.399,2.44,3,MSLV
18108.576,2024-11-03T22:55:41.498Z,40.7471472,-111.9215407,1286.99,0.744,0.62,9073,82541.499,2.44,3,MSLV
18208.84844,2024-11-03T22:55:41.599Z,40.7471474,-111.9215411,1287.01,0.691,0.75,9073,82541.599,2.44,3,MSLV
18309.12089,2024-11-03T22:55:41.698Z,40.7471471,-111.9215407,1286.967,0.486,0.7,9073,82541.699,2.44,3,MSLV
18409.39333,2024-11-03T22:55:41.798Z,40.7471473,-111.9215411,1286.93,0.468,0.5,9073,82541.799,2.44,3,MSLV
18509.66578,2024-11-03T22:55:41.899Z,40.7471469,-111.9215407,1286.914,0.284,0.48,9073,82541.899,2.44,3,MSLV
18609.93822,2024-11-03T22:55:42.000Z,40.7471467,-111.9215407,1286.893,0.222,0.3,9073,82542,2.44,3,MSLV
18710.21067,2024-11-03T22:55:42.099Z,40.7471465,-111.92154,1286.946,0.093,0.24,9073,82542.099,2.44,3,MSLV
18810.48311,2024-11-03T22:55:42.198Z,40.7471456,-111.9215394,1286.933,0.196,0.13,9073,82542.199,2.44,3,MSLV
18910.75556,2024-11-03T22:55:42.298Z,40.7471452,-111.9215396,1286.939,0.24,0.22,9073,82542.299,2.44,3,MSLV
19011.028,2024-11-03T22:55:42.399Z,40.747145,-111.9215404,1286.856,0.186,0.26,9073,82542.399,2.44,3,MSLV
19111.0614,2024-11-03T22:55:42.498Z,40.747145,-111.9215406,1286.893,0.136,0.21,9073,82542.499,2.44,3,MSLV
19211.0948,2024-11-03T22:55:42.599Z,40.7471441,-111.9215392,1286.89,0.286,0.17,9073,82542.599,2.44,3,MSLV
19311.1282,2024-11-03T22:55:42.698Z,40.7471441,-111.9215392,1286.942,0.228,0.3,9073,82542.699,2.44,3,MSLV
19411.1616,2024-11-03T22:55:42.798Z,40.7471434,-111.9215388,1286.835,0.291,0.25,9073,82542.799,2.44,3,MSLV
19511.195,2024-11-03T22:55:42.899Z,40.7471433,-111.9215388,1286.853,0.24,0.3,9073,82542.899,2.44,3,MSLV
19611.2284,2024-11-03T22:55:43.000Z,40.7471432,-111.9215392,1286.889,0.228,0.25,9073,82543,2.44,3,MSLV
19711.2618,2024-11-03T22:55:43.099Z,40.7471427,-111.9215387,1286.88,0.27,0.25,9073,82543.099,2.44,3,MSLV
19811.2952,2024-11-03T22:55:43.198Z,40.7471427,-111.9215393,1286.861,0.181,0.28,9073,82543.199,2.44,3,MSLV
19911.3286,2024-11-03T22:55:43.298Z,40.7471426,-111.9215395,1286.846,0.054,0.2,9073,82543.299,1.7,3,MSLV
20011.362,2024-11-03T22:55:43.399Z,40.7471433,-111.9215411,1286.958,0.355,0.1,9073,82543.399,1.7,3,MSLV
20111.42945,2024-11-03T22:55:43.498Z,40.7471428,-111.9215416,1286.889,0.36,0.38,9073,82543.499,1.7,3,MSLV
20211.49691,2024-11-03T22:55:43.599Z,40.7471424,-111.9215412,1286.961,0.302,0.38,9073,82543.599,1.7,3,MSLV
20311.56436,2024-11-03T22:55:43.698Z,40.7471422,-111.921542,1286.878,0.51,0.33,9073,82543.699,1.7,3,MSLV
20411.63182,2024-11-03T22:55:43.798Z,40.747142,-111.9215427,1286.817,0.533,0.52,9073,82543.799,1.7,3,MSLV
20511.69927,2024-11-03T22:55:43.899Z,40.7471412,-111.9215432,1286.715,0.57,0.54,9073,82543.899,1.77,3,MSLV
20611.76673,2024-11-03T22:55:44.000Z,40.7471417,-111.9215442,1286.788,0.543,0.57,9073,82544,1.77,3,MSLV
